CATION_ANION Temperature Pressure Density
C0460_A0083 295.65 5000 1239.81
C0460_A0083 295.65 10000 1241.85
C0460_A0083 295.65 15000 1243.86
C0460_A0083 295.65 20000 1245.85
C0460_A0083 295.65 25000 1247.78
C0460_A0083 295.65 30000 1249.71
C0460_A0083 295.65 35000 1251.61
C0460_A0083 298.15 100 1236.02
C0460_A0083 298.15 2500 1237.02
C0460_A0083 298.15 5000 1238.05
C0460_A0083 298.15 10000 1240.11
C0460_A0083 298.15 15000 1242.13
C0460_A0083 298.15 20000 1244.12
C0460_A0083 298.15 25000 1246.08
C0460_A0083 298.15 30000 1248.02
C0460_A0083 298.15 35000 1249.92
C0460_A0083 300.65 100 1234.27
C0460_A0083 300.65 2500 1235.31
C0460_A0083 300.65 5000 1236.37
C0460_A0083 300.65 10000 1238.43
C0460_A0083 300.65 15000 1240.46
C0460_A0083 300.65 20000 1242.43
C0460_A0083 300.65 25000 1244.4
C0460_A0083 300.65 30000 1246.35
C0460_A0083 300.65 35000 1248.26
C0460_A0083 303.15 100 1232.67
C0460_A0083 303.15 2500 1233.68
C0460_A0083 303.15 5000 1234.74
C0460_A0083 303.15 10000 1236.81
C0460_A0083 303.15 15000 1238.86
C0460_A0083 303.15 20000 1240.86
C0460_A0083 303.15 25000 1242.84
C0460_A0083 303.15 30000 1244.8
C0460_A0083 303.15 35000 1246.72
C0460_A0083 305.65 100 1230.86
C0460_A0083 305.65 2500 1231.93
C0460_A0083 305.65 5000 1232.99
C0460_A0083 305.65 10000 1235.08
C0460_A0083 305.65 15000 1237.13
C0460_A0083 305.65 20000 1239.17
C0460_A0083 305.65 25000 1241.15
C0460_A0083 305.65 30000 1243.12
C0460_A0083 305.65 35000 1245.07
C0460_A0083 308.15 100 1229.26
C0460_A0083 308.15 2500 1230.31
C0460_A0083 308.15 5000 1231.37
C0460_A0083 308.15 10000 1233.46
C0460_A0083 308.15 15000 1235.54
C0460_A0083 308.15 20000 1237.58
C0460_A0083 308.15 25000 1239.58
C0460_A0083 308.15 30000 1241.57
C0460_A0083 308.15 35000 1243.5
C0460_A0083 310.65 100 1227.54
C0460_A0083 310.65 2500 1228.61
C0460_A0083 310.65 5000 1229.69
C0460_A0083 310.65 10000 1231.79
C0460_A0083 310.65 15000 1233.87
C0460_A0083 310.65 20000 1235.92
C0460_A0083 310.65 25000 1237.94
C0460_A0083 310.65 30000 1239.93
C0460_A0083 310.65 35000 1241.89
C0460_A0083 313.15 100 1225.82
C0460_A0083 313.15 2500 1226.9
C0460_A0083 313.15 5000 1227.96
C0460_A0083 313.15 10000 1230.1
C0460_A0083 313.15 15000 1232.2
C0460_A0083 313.15 20000 1234.26
C0460_A0083 313.15 25000 1236.28
C0460_A0083 313.15 30000 1238.28
C0460_A0083 313.15 35000 1240.25
C0460_A0083 315.65 100 1224.12
C0460_A0083 315.65 2500 1225.21
C0460_A0083 315.65 5000 1226.29
C0460_A0083 315.65 10000 1228.43
C0460_A0083 315.65 15000 1230.54
C0460_A0083 315.65 20000 1232.62
C0460_A0083 315.65 25000 1234.59
C0460_A0083 315.65 30000 1236.66
C0460_A0083 315.65 35000 1238.63
C0460_A0083 318.15 100 1222.56
C0460_A0083 318.15 2500 1223.64
C0460_A0083 318.15 5000 1224.71
C0460_A0083 318.15 10000 1226.87
C0460_A0083 318.15 15000 1229
C0460_A0083 318.15 20000 1231.07
C0460_A0083 318.15 25000 1233.13
C0460_A0083 318.15 30000 1235.16
C0460_A0083 318.15 35000 1237.14
C0460_A0083 320.65 100 1220.86
C0460_A0083 320.65 2500 1221.93
