id,smiles
C0132,OC(c1ccc(c(c1)O)O)C[N+](C)(C)C
C0133,CCNS(=O)(=O)c1ccc2c(c1)[n+](CCCCS(=O)(=O)NC(=O)C)c(n2CC)C=CC=c1oc2c(n1CC)cc(c(c2)C)C
C0134,CC(CCCCC[NH+](CCCCCC(C)C)CCCCCC(C)C)C
C0135,CCCC[n+]1ccc(cc1)C(=O)OCC
C0136,CCCCCCCCCCCCCCCC[N+](Cc1ccccc1O)(C)C
C0137,CCCC[N+]1(C)CCCCC1
C0138,CCCCCCCCCCCCCCCC[N+](CCCCCC(=O)OC)(C)C
C0139,COC(=O)Cn1c(C)[n+](c2c1cccc2)CC(=O)c1ccccc1
C0140,[O-][N+](=O)c1cn(c[n+]1C)C
C0141,COCC[N+]1(C)CCCC1
C0142,CC(c1ccc(c(c1)C[N+](Cc1cc(ccc1C)C(C)C)(C)C)C)C
C0143,CCC[N+](C(c1ccccc1)C)(CCC)CCC
C0144,CCCCCCCCCCCCCCCCCCn1cc[n+](c1)CC[C@@H](CCC=C(C)C)C
C0145,COC(=O)C[n+]1ccn(c1)C
C0147,Cc1cc[n+](cc1)CN1CCOCC1
C0148,CCCn1cc[n+](c1CC)CC
C0149,CCOC(=O)C[N+](CC)(C)C
C0152,CCC[N+]1(C)CCCC1
C0153,BrC(=C)Cn1c[n+](c2c1cccc2)CC(=O)c1ccccc1
C0154,CCCn1cc[n+](n1)N
C0155,CCC[N+]1(C)CCCCC1
C0156,CCCC[N+](CCC)(C)C
C0157,CC[N+](CCCS(=O)(=O)O)(CC)CC
C0158,CCCCC(C[N+](C)(C)C)OC
C0159,CCC([n+]1ccn(c1)C)C
C0160,C=CC[N+](Cc1ccccc1)(C)C
C0161,CCCCC[P+](CC)(CC)CC
C0162,CCn1cc[n+](c1C)C
C0163,COC(=O)[C@@H](CC1=CN(C=[N+]1C(C)C)C(C)C)NC(=O)C1=CC=CC=C1
C0164,CCCC[N+](=C1N(C)CCN1C)C
C0165,Brc1ccc(cc1)C(=O)C[n+]1ccn(c1C)CCc1ccccc1
C0166,CCCC[NH+]1C=CN(C1)CCCP(=O)(OCC)OCC
C0167,OCC=C[n+]1ccccc1
C0168,CCCCCCCC[N+]1(C)CCCCC1
C0169,C=CCOn1cc[n+](c1)Cc1ccc(cc1Cl)Cl
C0170,OCn1c[n+](c2c1cccc2)CC(=O)c1ccccc1
C0171,CCCCCCCCn1c2cc(Cl)c(cc2[n+](c1C)CCCC(=O)O)Cl
C0172,CCCCCCCn1nc[n+](c1)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
C0173,COC(=O)C[N+](Cc1ccc(cc1)C)(C)C
C0174,COc1cccc(c1)C(=O)CC[N+](C)(C)C
C0175,[N-]=[N+]=Nc1n[n+](cn1C)C
C0176,CCCCCCCC[N+]12CCN(CC1)CC2
C0177,O=C(c1ccco1)C[n+]1c(N)n(c2c1cccc2)C
C0178,[N-]=[N+]=NCC[NH+]1C=NC=N1
C0179,CCCCCC[N+](CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C)(C)C
C0180,O=C(c1ccccc1)Cn1c[n+](c2c1cccc2)CC(=O)c1ccccc1
C0181,CCOC(=O)n1cc[n+](c1)Cc1ccc(cc1)C=CC(=O)OC
C0182,CCCCCC[P+](CCCC)(CCCC)CCCC
C0183,Cc1cc(C)c(cc1C[N+](C)(C)C)C
C0184,Cc1cc(C)c(c(c1)C)C(=O)C[n+]1ccn(c1)C
C0185,CCC[N+](Cc1ccccc1)(C)C
C0186,C[N+](CCCCCc1ccccc1)(C)C
C0187,C=CCn1c[n+](c2c1cccc2)CCC#N
C0188,OC(=O)CCCn1cc[n+](c1)C
C0189,CCCCCC[P+](CCCCCC)(CCCCCC)CC
C0190,CCCCCC[n+]1ccn(c1)C
C0191,COc1cc(C[n+]2ccn(c2)O)cc(c1OC)OC
C0192,CCCC[n+]1ccn(c1)c1ccc(cc1)OC
C0193,CCOC(C[N+](C)(C)C)CC
C0194,CCCCCCCCCCCC[N+](CCO)(C)C
C0195,CCc1n(C)c2c([n+]1C)cc(cc2)N(=O)=O
C0196,N#CCCCCn1cc[n+](c1)C
C0197,N#CCCn1cc[n+](c1)C
C0198,O=C(c1ccc(cc1)N(=O)=O)C[n+]1cn(c2c1cc(cc2)N(=O)=O)C
C0199,O=C(c1ccccc1)C[n+]1c2ccccc2n(c1N)C(C)C
C0200,Cc1ccccc1C[n+]1ccn(c1C)CCC(c1ccccc1)(c1ccccc1)C(=O)N
C0201,COc1ccc(cc1C(=O)C[n+]1ccn(c1)C)OC
C0202,O=c1nc2c(c(=O)n1CCC[n+]1cn(c3c1cccc3)C)nc1c(n2c2ccccc2)cccc1
C0203,CCC[n+]1ccccc1
C0204,CCCCCCCCCCCCCCCC[N+](CCO)(CCO)C
C0205,Cc1ccccc1C[N+](Cc1ccccc1C)(C)C
C0206,CC(C[N+](CC(CC(C)(C)C)C)(C)C)CC(C)(C)C
C0207,CCn1c(=CC=Cc2n(CC)c3c([n+]2CC)c(Br)c(c(c3Br)Br)Br)n(c2c1c(Br)c(Br)c(c2Br)Br)CC
C0208,CC(=CC[N+](c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C)(C)C)C
C0209,CCCCCCCCCCCCCC[n+]1ccccc1
C0210,CC1=NC(=C([NH2+]1)C)C
C0211,CCCCCCCC[n+]1c(C)n(c2c1cc(Cl)c(c2)Cl)CC(=O)O
C0212,Clc1ccc(c(c1)Cl)C[n+]1ccn(c1)O
C0213,CC[N+](CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C)(CC)C
C0214,CCn1cc[n+](c1C)CC
C0215,COC(=O)C[N+](Cc1ccccc1C)(C)C
C0216,CCCCn1cc[n+](n1)N
C0217,C=CC[N+](c1ccccc1)(CC#C)CC=C
C0218,Nn1c[nH+]nc1
C0219,CCOCCn1c[n+](c2c1ccc(c2)C)CC=CC
C0220,CCCCCC[N+](c1ccccc1OC)(C)C
C0221,CCCCNC(=O)Cn1cc[n+](c1)C
C0222,CCCCCCCCCCCCCCCCCC[n+]1ccc(cc1)C
C0223,N#CCC[n+]1cccc(c1)N
C0224,C[n+]1c2ccccc2n(c1C(F)(F)F)C
C0225,O=C1CCCCC[NH2+]1
C0226,CCCCCCCC[NH+]1C=CN(C1)CCP(=O)(OCC)OCC
C0227,CC[N+](C(c1ccccc1)C)(Cc1ccccc1)CC
C0228,CCCC[n+]1cc(n(c1)C)C[C@H]1COC(=O)[C@H]1CC
C0229,CCCCOC(C[N+](C)(C)C)CC
C0230,CCCC(=O)OCC[N+](C)(C)C
C0231,CCC[N+](CC)(C)C
C0232,COc1cc(cc(c1)OC)C[N+](C)(C)C
C0233,N#CCCC[N+]1=CC=CC=C1
C0234,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC
C0235,Cn1n[n+](c2c1cccc2)Cc1ccccc1
C0236,Nc1c(Cn2cc[n+](c2)C(C)(C)C)cc(cc1C(C)(C)C)C(C)(C)C
C0237,CCOC(=O)C[N+](CC=C)(C)C
C0238,CCc1[n+](ccn1OC(=O)C(C)(C)C)CC(=O)c1ccc(cc1)Cl
C0239,OC(=O)CCCn1cc[n+](c1)CCCC(=O)O
C0241,CCCCCCCCCCC[n+]1ccn(c1)C
C0242,CCCCCCCC[n+]1ccn(c1)CC
C0243,CCC[N+](C)(C)C
C0244,CCCCCCCCCCCC[N+](CCC)(CC)CC
C0246,C=CCn1c[n+](c(c1)Cl)C
C0247,C=CC[N+](C)(C)C
C0248,C=CCn1c[n+](c2c1cccc2)CC#C[Si](C)(C)C
C0249,CCCC[NH+]1C=CN(C1)CCP(=O)(OCC)OCC
C0250,CC[n+]1ccc(cc1)C
C0251,[NH3+][C@H](C(=O)O)C(C)C
C0252,O=C(c1cccs1)C[n+]1c(C)n(c2c1cccc2)N
C0253,C#CCn1cc[n+](c1)CC#C
C0254,ON=C(C[n+]1ccn(c1)C)C
C0255,CC([n+]1ccn(c1)Cc1ccccn1)(C)C
C0256,Fc1ccc(cc1)C[n+]1ccccc1
C0257,C[n+]1ccn(c1)CCC(C(S(F)(F)(F)(F)F)(F)F)(F)F
C0258,O=C(C(C)(C)C)C[n+]1c(N)n(c2c1cccc2)N
C0259,C=C[n+]1ccc(cc1)C
C0260,COCC[N+](CC)(CC)CC
C0261,Cn1cc[n+](c1)CC(=O)c1ccccc1F
C0262,CCCCCC[n+]1c2cc(Cl)c(cc2n(c1C)CCCC(=O)O)Cl
C0263,OC(=O)CCCn1c(C)[n+](c2c1cccc2)Cc1ccccc1
C0264,CCCCNC(=O)Cn1c(C)[n+](c2c1cccc2)CC(=O)c1ccccc1
C0265,CCCCCCCCCCCCn1c2cc(Cl)c(cc2[n+](c1C)CCCC(=O)O)Cl
C0266,CC[C@@H]1C(=O)OC[C@@H]1Cc1c[n+](cn1C)CC(=O)c1ccc(cc1)N(=O)=O
C0267,CC(C[n+]1ccn(c1)C)C
C0268,CCCC[N+](=C(N(C)C)N(C)C)C
C0269,CCCCCCCCCCCCCCCC[N+](c1ccccc1)(C)C
C0270,C=CCn1c[n+](c2c1cccc2)CC=C
C0271,COCCn1c[n+](c2c1ccc(c2)C)CCc1ccccc1
C0272,CCC[N+](CC)(CC)C
C0273,OCC[n+]1ccc(c(c1)C)C
C0274,NC(=O)C[n+]1ccccc1
C0275,O=C(c1ccccc1)C[n+]1ccn(c1)c1c(Nc2ccccc2)sc(c1c1ccccc1)C(=O)C
C0276,On1cc([n+](c1c1ccccc1)O)Br
C0277,Cn1nc([n+](c1C)C)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
C0278,COC(=O)C(C(O)C)[NH3+]
C0279,CCCCCCCCCCCCCCCCCC[n+]1ccccc1
C0280,CCCCCCCC[n+]1ccn(c1)CCC
C0281,CC([N+](c1ccccc1)(C)C)c1ccccc1
C0282,CC(=CC[n+]1ccc(cc1)C)C
C0283,COC(=O)C[N+](Cc1cccc2c1cccc2)(C)C
C0284,COC[N+](C)(C)C
C0285,CC[N+](c1ccccc1)(Cc1ccccc1)C
C0286,CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCC)(C)C
C0287,CCCC[NH2+]CCCC
C0288,C[n+]1ccn(c1)C(C(F)F)(F)F
C0289,CCCCCCNC(=O)Cn1cc[n+](c1)CC(=O)NCCCCCC
C0290,CCCCCCCC[n+]1ccn(c1)C
C0291,COCC[n+]1ccn(c1)C
C0292,N#CCCn1c[n+](c(c1)c1ccccc1)CC(=O)Nc1ccc(cc1)C(=O)OC
C0293,CCCCCCC[n+]1ccn(c1)C
C0294,OCC[N+](Cc1ccccc1)(C)C
C0296,O=C(c1ccccc1)Cn1cc[n+](c1)CC(=O)c1ccccc1
C0297,CCCC[N+](CCCC)(CCCC)CCCC
C0298,CCn1cc[n+](n1)N
C0300,Clc1ccccc1C[n+]1ccn(c1C)CCC(c1ccccc1)(c1ccccc1)C(=O)N
C0301,Clc1ccc2c(c1)[n+](C)cn2C
C0302,CCCC(C[N+](C)(C)C)OCC
C0303,OCCC[N+](Cc1ccccc1C)(C)C
C0304,C[NH+]=C1N(C)CCN1C
C0305,CC[n+]1cn(cc1C)C
